月份,日本,经合组织成员国,OECD成员国_欧洲,OECD和六个非成员经济体,主要亚洲五国(OECD),瑞士,韩国,土耳其,比利时,丹麦,英国,德国,法国,意大利,卢森堡,荷兰,希腊,葡萄牙,西班牙,奥地利,芬兰,匈牙利,波兰,瑞典,爱沙尼亚,拉脱维亚,立陶宛,斯洛文尼亚,捷克,斯洛伐克,巴西,智利,美国,澳大利亚,西方七国,印尼,中华人民共和国,南非,哥伦比亚,墨西哥,新西兰,以色列,哥斯达黎加,欧元区,俄罗斯,爱尔兰
1995-01,100.86 ,100.98,100.79,100.34,100.74,99.21,,,100.5,101.19,99.03,99.78,100.91,101.87,,100.85,100.2,100.01,99.79,102.05,106.02,97.06,,,96.7,,,,100.49,,100.44,,101.13,100.01,100.79,,101.44,101.91,,,101.35,,,100.62,,102.04
1995-02,100.6,100.85,100.73,100.26,100.78,98.84,,,100.42,101.24,99.08,99.71,100.93,101.86,,100.96,100.19,99.83,99.5,101.73,105.55,96.75,,,97.1,,,,100.39,,100.25,,101,99.88,100.67,,101.95,101.79,,,101.32,,,100.56,,102.02
1995-03,100.34,100.71,100.69,100.15,100.8,98.8,,,100.46,101.22,98.99,99.82,101.1,101.64,,101.03,100.2,99.6,99.3,101.4,105.16,96.32,,,98.06,,,,100.22,,99.81,,100.78,100.17,100.51,,102.36,101.73,,,101.38,,,100.57,,101.89
1995-04,100.14,100.66,100.75,100.11,100.79,98.97,,,100.47,101.16,98.87,99.94,101.37,101.74,,101,100.27,99.49,99.31,101.1,104.93,96.14,,,99.63,,,,99.97,,99.35,,100.68,100.48,100.46,,102.63,101.73,,,101.55,,,100.67,,101.7
1995-05,100.05,100.69,100.85,100.12,100.77,99.18,,,100.46,101.09,98.92,100.01,101.61,101.95,,101,100.38,99.57,99.34,100.92,104.82,96.14,,,100.59,,,,99.9,,99.02,,100.67,100.44,100.49,,102.72,101.78,,,101.77,,,100.78,,101.67
1995-06,100.04,100.78,100.97,100.18,100.73,99.33,,,100.44,101.01,99.49,100.07,101.58,102.1,,100.98,100.39,99.75,99.26,100.81,104.87,96.13,,,100.97,,,,100.04,,98.76,,100.79,100.33,100.6,,102.63,101.83,,,101.94,,,100.8,,101.76
1995-07,100.1,100.86,101,100.21,100.68,99.41,,,100.27,101.03,100.04,100.05,101.19,102.17,,100.99,100.27,100.06,99.28,100.58,104.98,96.17,,,101.06,,,,100.33,,98.56,,100.91,100.18,100.69,,102.4,101.89,,,102.02,,,100.72,,101.94
1995-08,100.24,100.83,100.94,100.17,100.65,99.46,,,99.91,101.13,100.34,99.92,100.65,102.13,,101.11,100.32,100.41,99.43,100.15,104.78,96.23,,,100.98,,,,100.54,,98.45,,100.88,100.08,100.66,,102.14,101.95,,,102.01,,,100.56,,102.17
1995-09,100.41,100.7,100.8,100.03,100.66,99.47,,,99.5,101.18,100.56,99.77,99.88,102.03,,101.21,100.64,100.84,99.54,99.66,103.64,96.36,,,100.74,,,,100.69,,98.42,,100.64,100.03,100.5,,101.93,102.03,,,101.93,,,100.34,,102.37
1995-10,100.57,100.58,100.64,99.93,100.71,99.42,,,99.01,101.16,100.8,99.58,99.19,101.87,,101.27,101.12,101.31,99.56,99.34,101.49,96.4,,97.86,100.38,,,,100.81,,98.42,,100.48,100.05,100.37,,101.81,102.13,,,101.81,,,100.1,,102.54
1995-11,100.7,100.5,100.49,99.86,100.79,99.27,,,98.54,101.17,100.95,99.29,98.77,101.7,,101.18,101.35,101.55,99.74,99.36,100.08,96.48,,97.65,100.22,,,,100.9,,98.46,,100.4,100.18,100.28,,101.81,102.21,,,101.71,,,99.89,,102.67
1995-12,100.8,100.48,100.36,99.86,100.89,98.97,,,98.35,101.09,101.08,98.89,98.63,101.47,,100.92,101.54,101.65,100.02,99.46,99.29,96.65,,97.55,100.27,,,,101.01,,98.57,,100.43,100.4,100.25,,101.91,102.22,,,101.7,,,99.67,,102.62
1996-01,100.9,100.48,100.28,99.88,101,98.59,,,98.3,100.99,101.18,98.47,98.83,101.31,,100.69,101.64,101.43,100.38,99.33,98.91,96.79,,97.31,100.44,,,,101.14,,98.76,,100.44,100.72,100.25,,102.05,102.11,,,101.85,,,99.5,,102.55
1996-02,100.99,100.52,100.23,99.93,101.1,98.22,,,98.36,100.78,101.24,98.25,99.05,101.24,,100.51,101.69,100.95,100.57,98.97,98.84,96.96,,97,100.46,,,,101.2,,98.98,,100.52,101,100.3,,102.16,101.91,,,102,,,99.41,,102.43
1996-03,101.06,100.61,100.25,100.01,101.16,97.91,,,98.51,100.66,101.28,98.26,99.16,101.33,,100.36,101.44,100.5,100.69,98.65,98.92,97.16,,96.84,100.2,,,100.96,101.15,,99.14,,100.66,101.25,100.41,,102.19,101.67,,,101.97,,,99.4,,102.33
1996-04,101.1,100.63,100.27,100.03,101.17,97.66,,,98.66,100.61,101.25,98.26,99.1,101.64,,100.38,101.2,100.23,100.68,98.56,99.09,97.32,,96.94,99.65,,,100.92,100.99,,99.17,,100.69,101.27,100.45,,102.16,101.41,,,101.62,,,99.4,,102.3
1996-05,101.07,100.62,100.28,100.01,101.13,97.46,,,98.69,100.5,101.06,98.22,98.95,102.12,,100.54,101.2,99.95,100.63,98.71,99.49,97.32,,97.1,99.19,,,101.21,100.85,,99.11,,100.67,101.11,100.44,,102.11,101.18,,,101.14,,,99.43,,102.27
1996-06,101,100.65,100.28,100.02,101.06,97.32,,,98.75,100.41,100.94,98.21,98.83,102.33,,100.68,101.35,99.8,100.48,98.78,99.99,97.26,,97.28,98.75,,,101.54,100.64,,99.08,,100.78,100.81,100.48,,102.04,101.03,,,100.8,,,99.44,,102.24
1996-07,100.92,100.69,100.26,100.05,100.99,97.26,,,98.9,100.43,101.06,98.27,98.74,102.17,,100.83,101.6,99.77,100.21,98.75,100.39,97.39,,97.4,98.25,,,101.9,100.33,,99.1,,100.94,100.48,100.54,,102,101.02,,,100.82,,,99.42,,102.26
1996-08,100.82,100.73,100.29,100.09,100.92,97.32,,,99.14,100.47,101.33,98.37,98.71,101.84,,100.98,102.01,99.91,100.11,98.73,100.75,97.54,,97.57,98.06,,,102.16,100.11,,99.16,,101.06,100.33,100.58,,101.95,101.1,,,101.04,,,99.43,,102.28
1996-09,100.68,100.75,100.32,100.11,100.83,97.58,,,99.3,100.66,101.64,98.42,98.7,101.38,,101.16,102.43,100.12,100.15,98.71,100.97,97.63,,97.6,98.2,,,102.27,99.97,,99.24,,101.15,100.31,100.59,,101.93,101.2,,,101.28,,,99.42,,102.41
1996-10,100.42,100.76,100.31,100.12,100.66,97.92,,,99.35,100.85,101.91,98.34,98.7,100.93,,101.3,102.56,100.15,100.4,98.68,101.03,97.73,,97.67,98.64,,,102.12,99.83,,99.37,,101.27,100.36,100.57,,101.88,101.28,,,101.41,,,99.38,,102.51
1996-11,99.99,100.74,100.33,100.1,100.34,98.22,,,99.38,100.91,102.09,98.22,98.8,100.73,,101.3,102.26,100.08,100.76,98.64,101.11,97.82,,97.65,98.95,,,102.17,99.75,,99.51,,101.38,100.48,100.53,,101.72,101.32,,,101.43,,,99.36,,102.51
1996-12,99.55,100.71,100.38,100.04,99.91,98.39,,,99.27,100.98,102.13,98.1,99.01,100.82,,101.29,101.84,100.14,101.24,98.54,101.29,97.77,,97.53,99.19,,,102.18,99.7,,99.62,,101.39,100.51,100.48,,101.29,101.29,,,101.36,,,99.42,,102.6
1997-01,99.28,100.74,100.47,100.01,99.45,98.48,,,98.99,101.12,102.24,98.03,99.2,100.97,,101.42,101.59,100.32,101.62,98.44,101.48,97.73,,97.57,99.38,,,102.15,99.59,,99.71,,101.44,100.62,100.49,,100.58,101.15,,,101.2,,,99.52,,102.74
1997-02,99.36,100.82,100.52,100.03,99.28,98.55,,,98.81,101.2,102.52,97.96,99.31,100.93,,101.53,101.56,100.52,101.67,98.38,101.71,97.8,,97.76,99.42,,,101.93,99.34,,99.77,,101.56,100.57,100.59,,100.08,101,,,100.99,,,99.52,,102.94
