指标,进口额(美元)_比利时_当期,进口额(美元)_丹麦_当期,进口额(美元)_英国_当期,进口额(美元)_德国_当期,进口额(美元)_法国_当期,进口额(美元)_爱尔兰_当期,进口额(美元)_意大利_当期,进口额(美元)_卢森堡_当期,进口额(美元)_荷兰_当期,进口额(美元)_欧洲_当期,进口额(美元)_希腊_当期,进口额(美元)_葡萄牙_当期,进口额(美元)_西班牙_当期,进口额(美元)_阿尔巴尼亚_当期,进口额(美元)_安道尔_当期,进口额(美元)_奥地利_当期,进口额(美元)_保加利亚_当期,进口额(美元)_芬兰_当期,进口额(美元)_直布罗陀_当期,进口额(美元)_匈牙利_当期,进口额(美元)_冰岛_当期,进口额(美元)_列支敦士登_当期,进口额(美元)_马耳他_当期,进口额(美元)_摩纳哥_当期,进口额(美元)_挪威_当期,进口额(美元)_波兰_当期,进口额(美元)_罗马尼亚_当期,进口额(美元)_圣马力诺_当期,进口额(美元)_瑞典_当期,进口额(美元)_瑞士_当期,进口额(美元)_爱沙尼亚_当期,进口额(美元)_拉脱维亚_当期,进口额(美元)_立陶宛_当期,进口额(美元)_格鲁吉亚_当期,进口额(美元)_亚美尼亚_当期,进口额(美元)_阿塞拜疆_当期,进口额(美元)_白俄罗斯_当期,进口额(美元)_摩尔多瓦_当期,进口额(美元)_俄罗斯_当期,进口额(美元)_乌克兰_当期,进口额(美元)_斯洛文尼亚_当期,进口额(美元)_克罗地亚_当期,进口额(美元)_捷克_当期,进口额(美元)_斯洛伐克_当期,进口额(美元)_马其顿_当期,进口额(美元)_波黑_当期,进口额(美元)_梵蒂冈城国_当期,进口额(美元)_法罗群岛_当期,进口额(美元)_塞尔维亚_当期,进口额(美元)_黑山_当期,进口额(美元)_欧洲其他国家(地区)_当期
2000-01,92597,46207,341898,824695,234086,39038,221308,5495,82150,2927647,2428,1870,42164,,,25765,261,153489,,5739,494,7,923,12,131471,3861,5819,,143985,97753,304,,31,58,,,1365,,336462,27728,797,628,3881,652,31,,,,,,
2000-02,83057,31833,203278,636393,307243,27657,155046,2751,83215,2516594,5015,2342,33911,,,31278,331,124507,,6094,583,,307,143,128702,5513,5007,,137237,111009,220,9,102,200,,58,17071,,288870,13472,1312,279,4880,3471,161,37,,,,,
2000-03,94510,50572,251742,806647,245004,29607,239482,5550,92824,2991492,4906,3793,44120,,,35357,221,219227,,9259,775,3,903,20,33835,3873,7735,,184564,102807,174,45,7393,81,,12,1918,,404190,27124,407,139,6033,222,114,26,,,,,
2000-04,104805,51067,287257,849280,280917,39052,217742,4217,106539,3214232,2351,3803,51858,,,39672,491,224403,,9640,537,3,1342,29,20025,5423,8100,,203031,128633,67,73,139,107,1,19,1501,,452576,21505,1564,286,6839,843,17,26,,,,,
2000-05,108120,45338,210130,866120,271556,30523,246159,4247,86005,3083768,6003,2663,65265,,,36063,476,151094,,6613,1103,48,563,69,19589,9202,11679,,229651,101763,387,5,42,84,241,110,203,,448221,12099,879,225,7164,1248,,1867,,,,,
2000-06,140809,48737,273800,888177,326086,37263,255689,3779,101478,3790481,2863,6444,61953,,3,35698,831,227922,,12944,924,,1500,44,35787,6943,10146,,302835,109289,96,1150,271,111,1076,18,2849,13,751982,29633,1317,1349,8210,1029,60,,,,,,
2000-07,112768,37468,337128,886557,282152,24654,290695,3479,102495,3529089,4636,3933,48356,1,,37978,977,165310,,5678,2460,36,1713,63,64290,6787,7219,,286107,139692,781,40,1,307,759,54,10871,51,513292,31293,1458,246,8048,503,47,76,,,,,
2000-08,120943,48903,284989,918705,353996,28150,303241,2860,121002,3743922,2946,4601,63062,,,51814,3818,210038,,6792,2368,104,2296,119,51773,11437,4829,,261929,126086,1683,23,553,311,95,,17883,26,544537,66675,1567,288,9428,1366,51,99,,,,,
2000-09,119754,42958,317790,875970,386639,26597,291237,3105,107617,3584022,3142,6235,50692,,,37377,518,216854,,11971,2091,33,1588,438,19879,3162,8084,,213649,120921,465,37,558,226,1017,860,3543,4025,546031,52596,1310,156,8819,691,133,22,,,,,
2000-10,118827,48170,431079,855292,275563,29310,209028,2148,100428,3317216,2491,3502,42888,,,40742,367,184591,,5971,937,7,3098,172,31830,18768,19018,,205628,134625,516,56,133,178,332,1504,2279,3801,409348,43099,1060,293,5333,301,53,65,,,,,
