指标,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值,本币/美元汇率指数(基年=100)_平均值
地区,日本,韩国,韩国,土耳其,土耳其,比利时,比利时,丹麦,丹麦,英国,英国,德国,德国,法国,法国,爱尔兰,爱尔兰,意大利,意大利,卢森堡,卢森堡,荷兰,荷兰,希腊,希腊,葡萄牙,葡萄牙,西班牙,西班牙,奥地利,奥地利,芬兰,芬兰,匈牙利,匈牙利,冰岛,冰岛,挪威,挪威,波兰,波兰,瑞典,瑞典,瑞士,瑞士,捷克,捷克,斯洛伐克,斯洛伐克,墨西哥,墨西哥,加拿大,澳大利亚,澳大利亚,新西兰,新西兰,欧元区
频度,月,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,季,月,月,季,月,季,月
2001-01,96.56,112.46,,24.64,,118.15,,118.23,,103.42,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,118.15,,101.11,,64.4,,108.81,,109.16,,112.29,,169.28,,152.24,,171.35,,61.48,,117.56,135.42,,157.14,,118.15
2001-02,96,110.61,,27.65,,120.4,,120.38,,105.18,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,120.4,,103.3,,65.17,,110.5,,108.52,,115.59,,173.29,,152.94,,174.48,,61.07,,119.15,140.6,,160.42,,120.4
2001-03,100,113.97,112.35,35.22,29.17,122.14,120.23,121.45,120.02,105.81,104.8,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,122.14,120.23,104.8,103.07,66.33,65.3,111.26,110.19,107.67,108.45,119.29,115.72,175.7,172.76,154.36,153.18,176.57,174.13,60.41,60.98,121.91,149.39,141.81,166.71,161.42,122.14
2001-04,102.3,117.41,,44.6,,124.12,,124.36,,106.42,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,124.12,,107.15,,70.74,,112.61,,106.76,,120.87,,177.84,,157.43,,179.37,,58.81,,121.9,150.07,,171.73,,124.12
2001-05,100.78,114.68,,41.84,,126.85,,126.79,,107.08,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,126.85,,105.86,,76.25,,113.42,,105.64,,122.79,,182.19,,159.6,,181.62,,57.93,,120.56,144.48,,165.46,,126.85
2001-06,100.99,114.38,115.49,44.76,43.73,129.89,126.95,129.85,127,108.92,107.47,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,129.89,126.95,103.87,105.63,79.35,75.45,115.29,113.77,105.3,105.9,128.05,123.9,185.41,181.81,161.83,159.62,184.69,181.89,57.36,58.03,119.26,145.06,146.54,168.29,168.49,129.89
2001-07,103.03,115.16,,48.61,,128.78,,128.58,,107.95,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,128.78,,103.57,,77.41,,114.83,,111.34,,127.58,,182.57,,160.1,,182.47,,57.67,,119.64,147.48,,170.87,,128.78
2001-08,100.51,113.34,,51.41,,122.98,,123.05,,106.24,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,122.98,,99.83,,74.67,,110.93,,112.74,,122.57,,174.53,,153.7,,176.71,,57.8,,120.39,143.51,,161.87,,122.98
2001-09,98.24,114.43,114.31,54.11,51.38,121.56,124.44,121.39,124.34,104.29,106.16,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,121.56,124.44,100.37,101.26,75.85,75.98,108.72,111.49,111.93,112,125.88,125.35,169.8,175.64,152.19,155.33,175.98,178.39,59.16,58.21,122.56,148.66,146.55,166.68,166.47,121.56
