指标名称,安徽:建筑业:建筑业总产值:累计值,北京:建筑业:建筑业总产值:累计值,福建:建筑业:建筑业总产值:累计值,甘肃:建筑业:建筑业总产值:累计值,广东:建筑业:建筑业总产值:累计值,广西:建筑业:建筑业总产值:累计值,贵州:建筑业:建筑业总产值:累计值,海南:建筑业:建筑业总产值:累计值,河北:建筑业:建筑业总产值:累计值,黑龙江:建筑业:建筑业总产值:累计值,河南:建筑业:建筑业总产值:累计值,湖北:建筑业:建筑业总产值:累计值,湖南:建筑业:建筑业总产值:累计值,江苏:建筑业:建筑业总产值:累计值,江西:建筑业:建筑业总产值:累计值,吉林:建筑业:建筑业总产值:累计值,辽宁:建筑业:建筑业总产值:累计值,内蒙古:建筑业:建筑业总产值:累计值,宁夏:建筑业:建筑业总产值:累计值,青海:建筑业:建筑业总产值:累计值,山东:建筑业:建筑业总产值:累计值,上海:建筑业:建筑业总产值:累计值,陕西:建筑业:建筑业总产值:累计值,山西:建筑业:建筑业总产值:累计值,四川:建筑业:建筑业总产值:累计值,天津:建筑业:建筑业总产值:累计值,新疆:建筑业:建筑业总产值:累计值,西藏:建筑业:建筑业总产值:累计值,云南:建筑业:建筑业总产值:累计值,浙江:建筑业:建筑业总产值:累计值,重庆:建筑业:建筑业总产值:累计值
2003-06,246.22 ,454.90 ,168.64 ,76.39 ,555.33 ,107.02 ,82.98 ,18.55 ,267.60 ,98.61 ,218.15 ,272.14 ,225.28 ,1051.85 ,124.99 ,95.14 ,260.31 ,72.71 ,35.87 ,20.61 ,495.48 ,419.34 ,160.12 ,166.41 ,413.89 ,201.25 ,93.40 ,11.99 ,143.41 ,1128.61 ,231.93 
2003-12,641.84 ,1269.85 ,495.36 ,200.32 ,1479.84 ,290.84 ,207.34 ,23.99 ,730.40 ,426.94 ,613.57 ,703.79 ,674.41 ,2560.23 ,344.33 ,373.32 ,1016.48 ,245.74 ,104.37 ,73.39 ,1402.23 ,1055.88 ,422.47 ,492.92 ,1323.67 ,498.66 ,295.57 ,11.99 ,348.82 ,2973.65 ,563.25 
2004-03,134.25 ,202.25 ,95.66 ,23.79 ,371.46 ,59.06 ,49.14 ,7.24 ,105.89 ,5.79 ,114.64 ,162.74 ,151.57 ,423.91 ,74.46 ,12.80 ,53.58 ,10.72 ,7.78 ,5.87 ,211.86 ,255.44 ,68.21 ,69.06 ,263.25 ,97.02 ,7.72 ,,83.67 ,612.98 ,140.34 
2004-06,310.73 ,589.12 ,218.20 ,85.53 ,796.11 ,131.80 ,105.57 ,20.25 ,321.88 ,107.54 ,303.16 ,356.98 ,258.62 ,1264.03 ,165.38 ,98.43 ,334.24 ,97.16 ,42.95 ,29.60 ,648.23 ,594.82 ,201.90 ,231.07 ,460.05 ,273.95 ,91.21 ,7.89 ,172.54 ,1499.38 ,278.66 
2004-09,430.53 ,965.87 ,369.97 ,146.18 ,1224.80 ,203.56 ,159.78 ,28.34 ,485.18 ,262.22 ,476.92 ,557.94 ,569.42 ,1786.81 ,349.03 ,200.35 ,686.60 ,202.70 ,77.34 ,51.86 ,1036.45 ,895.10 ,324.51 ,389.30 ,787.98 ,439.73 ,201.73 ,15.72 ,256.95 ,2477.91 ,426.53 
2004-12,775.44 ,1464.54 ,565.62 ,206.13 ,1749.56 ,333.59 ,245.73 ,47.07 ,849.11 ,476.48 ,787.49 ,1065.64 ,956.67 ,3370.57 ,449.56 ,361.26 ,1222.95 ,327.50 ,109.42 ,81.91 ,1902.11 ,1738.00 ,525.01 ,749.49 ,1366.46 ,631.34 ,316.74 ,20.79 ,419.96 ,3966.77 ,662.67 
2005-03,141.73 ,232.80 ,110.10 ,18.76 ,402.88 ,64.17 ,48.98 ,7.93 ,116.96 ,4.29 ,137.53 ,186.02 ,200.92 ,516.57 ,89.32 ,17.26 ,66.62 ,13.99 ,6.03 ,6.78 ,269.32 ,300.27 ,67.04 ,86.85 ,268.51 ,101.29 ,9.17 ,0.06 ,99.52 ,760.31 ,162.23 
2005-06,325.37 ,712.09 ,269.05 ,74.81 ,878.80 ,155.85 ,108.56 ,21.88 ,389.11 ,124.27 ,366.57 ,441.78 ,429.51 ,1536.80 ,200.88 ,109.84 ,394.86 ,124.93 ,38.33 ,29.68 ,825.31 ,728.40 ,228.16 ,288.21 ,514.20 ,293.80 ,93.59 ,8.43 ,210.15 ,1802.57 ,330.83 
2005-09,523.95 ,1177.14 ,456.28 ,143.23 ,1356.46 ,244.42 ,172.43 ,32.54 ,636.95 ,307.27 ,584.43 ,686.85 ,694.65 ,2371.16 ,424.33 ,241.57 ,794.27 ,234.80 ,70.50 ,54.86 ,1353.46 ,1136.86 ,355.81 ,493.43 ,903.83 ,486.60 ,212.06 ,23.69 ,336.06 ,3040.02 ,506.99 
2005-12,961.56 ,1894.29 ,804.00 ,276.30 ,2067.42 ,410.14 ,260.39 ,59.46 ,1268.40 ,572.33 ,1055.85 ,1247.82 ,1177.18 ,4365.09 ,543.38 ,485.24 ,1472.03 ,366.60 ,111.07 ,87.87 ,2490.85 ,1892.97 ,594.06 ,792.27 ,1478.44 ,725.26 ,343.28 ,35.53 ,502.09 ,4620.30 ,784.57 
2006-03,188.00 ,284.75 ,151.92 ,24.24 ,460.52 ,80.70 ,55.60 ,8.95 ,138.08 ,5.46 ,186.73 ,239.95 ,233.32 ,629.20 ,115.88 ,23.36 ,87.30 ,19.17 ,7.27 ,6.99 ,344.81 ,337.96 ,88.82 ,96.35 ,317.71 ,122.52 ,8.85 ,0.91 ,127.62 ,944.57 ,183.26 
2006-06,466.03 ,823.51 ,382.96 ,99.25 ,998.48 ,196.47 ,130.23 ,24.52 ,498.98 ,151.88 ,506.13 ,600.24 ,554.34 ,1881.66 ,259.60 ,143.65 ,526.09 ,163.91 ,43.41 ,31.64 ,1064.79 ,812.76 ,306.49 ,343.22 ,630.14 ,363.67 ,104.41 ,15.32 ,271.86 ,2163.20 ,372.32 
2006-09,751.86 ,1398.11 ,635.24 ,190.28 ,1568.70 ,302.36 ,196.03 ,36.61 ,798.33 ,376.45 ,845.46 ,948.28 ,895.30 ,3054.53 ,524.86 ,320.70 ,1048.29 ,307.90 ,82.82 ,58.29 ,1755.35 ,1265.42 ,481.35 ,555.22 ,1102.02 ,598.45 ,233.66 ,35.39 ,423.43 ,3556.82 ,567.03 
2006-12,1139.10 ,2161.37 ,1158.22 ,344.33 ,2536.79 ,514.11 ,291.16 ,64.59 ,1439.35 ,699.33 ,1495.59 ,1702.00 ,1475.13 ,5154.48 ,662.31 ,685.02 ,1767.99 ,474.06 ,130.76 ,105.69 ,2788.64 ,2107.57 ,895.38 ,892.04 ,1780.06 ,924.28 ,404.01 ,53.92 ,652.08 ,5590.93 ,885.18 
2007-03,253.01 ,341.09 ,220.67 ,33.19 ,556.93 ,98.11 ,62.56 ,11.30 ,163.77 ,7.13 ,260.45 ,346.08 ,289.61 ,718.58 ,133.40 ,31.30 ,112.37 ,20.06 ,8.58 ,10.14 ,406.85 ,373.06 ,117.13 ,101.12 ,370.19 ,158.84 ,11.78 ,1.26 ,146.92 ,1135.89 ,207.45 
2007-06,585.79 ,989.20 ,536.53 ,129.35 ,1194.58 ,240.61 ,144.59 ,30.24 ,555.64 ,175.54 ,707.21 ,783.09 ,713.74 ,2291.65 ,300.56 ,209.01 ,633.68 ,185.85 ,47.37 ,42.37 ,1261.28 ,938.94 ,406.44 ,354.65 ,756.76 ,485.94 ,121.11 ,22.84 ,314.58 ,2610.29 ,443.44 
2007-09,973.38 ,1649.86 ,888.54 ,234.30 ,1867.22 ,366.47 ,224.44 ,46.13 ,971.20 ,436.92 ,1178.79 ,1219.04 ,1153.22 ,3915.73 ,533.81 ,414.75 ,1220.12 ,344.73 ,97.48 ,77.34 ,2055.65 ,1481.80 ,664.38 ,621.82 ,1320.58 ,801.33 ,273.97 ,46.84 ,473.65 ,4325.50 ,703.26 
2007-12,1486.74 ,2580.13 ,1490.71 ,436.90 ,3037.25 ,616.65 ,346.37 ,81.95 ,1614.29 ,875.51 ,2077.57 ,2011.85 ,1888.26 ,6511.73 ,778.18 ,772.35 ,2099.15 ,664.97 ,151.37 ,119.30 ,3301.63 ,2425.21 ,1208.57 ,1025.88 ,2092.39 ,1183.92 ,434.18 ,53.71 ,742.05 ,6790.32 ,1119.54 
2008-03,298.52 ,452.02 ,311.49 ,42.86 ,638.74 ,123.73 ,69.90 ,16.90 ,216.48 ,8.73 ,361.31 ,431.01 ,336.82 ,921.00 ,161.77 ,39.95 ,148.21 ,18.82 ,10.99 ,16.13 ,488.33 ,418.67 ,173.12 ,111.54 ,442.81 ,207.14 ,15.05 ,1.47 ,170.03 ,1427.36 ,266.14 
2008-06,714.91 ,1330.64 ,728.35 ,161.20 ,1433.53 ,288.00 ,167.24 ,43.66 ,712.23 ,207.30 ,974.41 ,967.44 ,844.41 ,2805.46 ,381.41 ,290.87 ,750.53 ,225.43 ,65.89 ,51.89 ,1492.08 ,1167.17 ,568.20 ,381.29 ,940.16 ,579.85 ,159.61 ,24.35 ,374.81 ,3244.82 ,587.37 
2008-09,1163.98 ,1916.24 ,1154.37 ,290.30 ,2169.56 ,448.47 ,261.44 ,64.64 ,1205.32 ,507.96 ,1613.06 ,1588.07 ,1401.42 ,4801.99 ,641.56 ,544.80 ,1445.09 ,430.74 ,122.18 ,85.69 ,2413.57 ,1868.40 ,930.62 ,732.81 ,1644.05 ,962.76 ,365.98 ,51.65 ,559.22 ,5234.45 ,931.97 
2008-12,1884.09 ,3065.38 ,1860.75 ,480.45 ,3375.03 ,746.75 ,381.63 ,110.99 ,1903.44 ,1057.59 ,2826.07 ,2597.65 ,2286.67 ,8308.46 ,969.79 ,962.79 ,2512.65 ,759.80 ,184.05 ,134.49 ,3787.80 ,3071.76 ,1649.29 ,1282.59 ,2536.97 ,1405.84 ,558.44 ,72.29 ,899.86 ,8040.76 ,1430.16 
2009-03,371.55 ,506.22 ,339.11 ,56.74 ,675.82 ,149.63 ,78.09 ,22.39 ,276.70 ,11.93 ,469.14 ,579.69 ,397.52 ,1179.27 ,197.02 ,47.96 ,209.48 ,28.97 ,16.28 ,18.29 ,575.83 ,543.04 ,241.07 ,186.06 ,551.00 ,260.65 ,25.19 ,2.69 ,219.71 ,1543.13 ,336.44 
2009-06,872.86 ,1474.84 ,795.12 ,208.73 ,1518.62 ,352.75 ,204.16 ,55.80 ,917.29 ,242.64 ,1290.87 ,1340.39 ,991.22 ,3463.98 ,464.91 ,319.88 ,917.57 ,302.76 ,85.74 ,69.48 ,1777.05 ,1474.57 ,785.91 ,606.96 ,1190.66 ,742.77 ,211.02 ,38.40 ,475.36 ,3536.54 ,773.38 
